X1,X2,Y
9.62463454,8.521227052,77.80547263
7.246414198,1.453847688,83.3006372
7.682933313,10.87410046,50.68897588
2.363141849,4.544764425,73.22940516
5.788608633,13.59126717,118.5268788
0.849521137,11.0356629,34.52400803
2.563805285,1.221544415,17.74494292
9.562987544,9.576582975,110.0857645
9.572434855,9.09067259,110.7196143
5.215234037,16.88427498,51.41931644
7.632797276,7.412847445,74.82467823
8.638051819,18.00813543,66.94607041
5.922346971,8.326949167,94.51134991
4.536763389,10.65747745,109.3959894
5.926268842,3.424277467,53.0070642
7.846918743,3.142649044,74.83543876
5.149905131,3.332363544,100.4226498
6.101607017,4.872835029,23.28142095
9.314294615,8.094971687,39.72357389
0.797353665,15.71024797,27.04139024
4.640487818,1.986881247,46.39428352
0.000641634,18.53365085,107.9098066
8.354929931,6.618857644,79.1596361
3.470142886,5.149481583,107.8261877
5.475061453,15.80215231,76.28154798
1.245431049,14.64238832,19.99675155
9.879496727,3.799550408,62.23815365
6.704287808,18.8245091,38.23123243
0.177287654,4.920077793,65.80191979
0.202861834,4.701448272,82.27378688
9.958912949,11.08663102,121.1970729
4.382517233,18.8443071,75.2625629
6.358564209,17.06153069,51.24236748
4.647330274,7.8536783,113.9783995
4.344737867,13.16371572,58.21250564
2.800291648,0.264374016,101.2320689
2.373130384,14.08047984,95.85889376
8.097528641,12.30506616,52.61666761
1.419690744,3.226925285,84.45031533
9.425508181,8.809516212,80.98667096
8.602626913,6.123048985,11.8642054
1.872668389,4.610231483,57.15614477
5.916574084,8.782619115,61.02134531
4.644501613,1.210763155,25.00093858
9.236266859,18.98722646,92.20611532
0.407064223,9.688460399,69.70481599
8.603204634,8.37668782,101.8911263
2.746442851,12.70037055,94.11844444
9.914024928,8.995688327,23.17278294
1.520786229,6.296444346,48.83126891
5.74566682,6.510729367,89.79097912
0.332750869,13.09616664,52.80410953
1.090232966,7.599668598,76.16607782
8.76495396,0.100973302,63.02562176
8.131476446,12.86902565,21.61720248
4.515566842,18.82828697,51.81027747
3.599605318,4.440976786,38.33822491
4.650997968,19.88387761,114.9407433
3.942021374,8.209511673,61.68485581
0.937360214,15.64234697,46.61132866
4.321779501,11.53821065,104.1882107
9.411472604,8.655573204,29.61263672
5.523740261,2.144742041,49.08373261
8.794835381,12.65906286,97.13843472
3.86650048,10.34878558,63.05638891
0.56818439,12.1005973,29.56357567
3.359025064,5.053114651,52.33666914
0.89523714,9.527819862,86.49320567
0.624062246,0.644983271,63.5214461
5.623697403,10.81872128,66.27079472
0.727584489,7.273258919,92.95505212
8.56041886,8.050130754,61.97573408
2.616452606,7.808050632,14.65517756
2.950140648,9.573747172,102.0986851
2.170538595,19.78974222,92.54579709
3.795181036,19.36840972,29.19409375
5.991257617,15.20702763,72.31873162
2.321569845,18.03756827,74.6867387
1.056059963,11.65826813,87.51393125
3.198926985,8.622345078,70.59092588
9.424156672,7.674861439,27.2821212
1.555515821,16.83416518,12.52534705
1.846924527,5.288902474,67.23497751
6.44449748,13.98907651,56.67228335
7.468064406,4.922401141,24.08636009
6.781202171,2.960342379,93.42341642
7.876731781,8.067205226,35.50228995
1.109718238,0.768753005,83.09821043
0.565611335,3.361554446,8.602145207
5.276686718,18.3826071,74.27374741
9.498418534,15.36822867,23.90592948
7.559326993,7.653677205,70.0816312
5.23728253,5.878255833,48.17538487
4.442148614,19.03920934,112.7488995
2.570974178,9.69112771,64.16551997
3.509972526,14.43716991,88.38233204
2.916080472,2.819321157,98.71564979
0.089974662,12.78556763,88.78366718
5.208469126,7.765647307,37.78858543
4.428767591,2.871729098,34.36639929
